Protected_or_open-source	FORM_NAME	FIELD_TYPE	FIELD_ID	FIELD_ ID_NUM	SRC_CODE	SRC_CODE_ID	SRC_CD_ DESCRIPTION	Choices, Calculations, OR Slider Labels From REDCap CODEBOOK	TARGET_ CONCEPT_ID	LOCAL _CONCEPT_ID	TARGET_ CONCEPT_NAME	TARGET_ DOMAIN_ID	TARGET_ VOCABULARY_ ID	TARGET_ CONCEPT _CLASS_ID	TARGET_ STANDARD _CONCEPT	TARGET_ CONCEPT_CODE	PREDICATE _ID	CONFIDENCE	qualifier_concept_id	qualifier_source_value	value_as_concept_id
open-source	disposition	radio	eos_dsvst	3362	1	eos_dsvst_1	Pre-Visit		35626257		Before appointment	Observation	SNOMED	Qualifier Value	S	769562006	skos:closeMatch	0.75			
open-source	disposition	radio	eos_dsvst	3361	0	eos_dsvst_0	Signed Consent		3018196		Informed consent obtained	Observation	LOINC	Clinical Observation	S	19826-7	skos:closeMatch	1			
open-source	disposition	checkbox	eos_dsdecodie	3360	888	eos_dsdecodie_888	Other		45878142		Other	Meas Value	LOINC	Answer	S	LA46-8	skos:exactMatch	1			
open-source	disposition	checkbox	eos_dsdecodie	3357	2	eos_dsdecodie_2	Individual is pregnant		45884583		Currently pregnant	Meas Value	LOINC	Answer	S	LA14670-6	skos:closeMatch	1			
open-source	disposition	radio	eos_dsdecod	3355	888	eos_dsdecod_888	Other {eos_dsterm}		45878142		Other	Meas Value	LOINC	Answer	S	LA46-8	skos:exactMatch	1			
open-source	disposition	radio	eos_dsdecod	3353	8	eos_dsdecod_8	Adverse Event		45884383		Adverse event	Meas Value	LOINC	Answer	S	LA7266-5	skos:exactMatch	1			
open-source	disposition	radio	eos_dsdecod	3352	7	eos_dsdecod_7	Death		45881348		Death	Meas Value	LOINC	Answer	S	LA7424-0	skos:exactMatch	1			
open-source	disposition	radio	eos_dsdecod	3350	5	eos_dsdecod_5	Investigator deemed not appropriate for study		40480675		Does not meet eligibility criteria for clinical trial	Observation	SNOMED	Clinical Finding	S	444734003	skos:closeMatch	0.75			
open-source	disposition	radio	eos_dsdecod	3347	2	eos_dsdecod_2	Lost to Follow-up		4163894		Lost to follow-up	Observation	SNOMED	Clinical Finding	S	399307001	skos:exactMatch	1			
open-source	bcva	radio	viaomthd	3036	2	viaomthd_2	ETDRS		4268147		ETDRS visual acuity chart	Device	SNOMED	Physical Object	S	400914004	skos:exactMatch	1			
open-source	meds_assessment	radio	cmotyn	2992	0	cmotyn_0	No		45878245		No	Meas Value	LOINC	Answer	S	LA32-8	skos:exactMatch	1			
open-source	meds_assessment	radio	cmotyn	2991	1	cmotyn_1	Yes		45877994		Yes	Meas Value	LOINC	Answer	S	LA33-6	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_slp	2990	777	cm_slp_777	Decline to answer		36311156		Prefer not to say	Meas Value	LOINC	Answer	S	LA28803-7	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_slp	2989	99	cm_slp_99	Don't know/not sure		45876636		Don't know	Meas Value	LOINC	Answer	S	LA12688-0	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_slp	2988	4	cm_slp_4	Most days (3-4 days/week)		1620862		Most days (3-4 days)	Meas Value	LOINC	Answer	S	LA31670-5	skos:closeMatch	1			
open-source	meds_assessment	radio	cm_slp	2987	3	cm_slp_3	Some days (1-2 days/week)		1620467		A few days (1-2 days)	Meas Value	LOINC	Answer	S	LA31669-7	skos:closeMatch	1			
open-source	meds_assessment	radio	cm_slp	2986	2	cm_slp_2	A few days (<1 day/week)		45884557		Less than a day	Meas Value	LOINC	Answer	S	LA14482-6	skos:closeMatch	0.75			
open-source	meds_assessment	radio	cm_slp	2985	1	cm_slp_1	Every day		45881677		Every day	Meas Value	LOINC	Answer	S	LA14799-3	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_slp	2984	0	cm_slp_0	No		45878245		No	Meas Value	LOINC	Answer	S	LA32-8	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_dcg	2983	777	cm_dcg_777	Decline to answer		36311156		Prefer not to say	Meas Value	LOINC	Answer	S	LA28803-7	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_dcg	2982	99	cm_dcg_99	Don't know/not sure		45876636		Don't know	Meas Value	LOINC	Answer	S	LA12688-0	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_dcg	2981	4	cm_dcg_4	Most days (3-4 days/week)		1620862		Most days (3-4 days)	Meas Value	LOINC	Answer	S	LA31670-5	skos:closeMatch	1			
open-source	meds_assessment	radio	cm_dcg	2980	3	cm_dcg_3	Some days (1-2 days/week)		1620467		A few days (1-2 days)	Meas Value	LOINC	Answer	S	LA31669-7	skos:closeMatch	1			
open-source	meds_assessment	radio	cm_dcg	2979	2	cm_dcg_2	A few days (<1 day/week)		45884557		Less than a day	Meas Value	LOINC	Answer	S	LA14482-6	skos:closeMatch	0.75			
open-source	meds_assessment	radio	cm_dcg	2978	1	cm_dcg_1	Every day		45881677		Every day	Meas Value	LOINC	Answer	S	LA14799-3	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_dcg	2977	0	cm_dcg_0	No		45878245		No	Meas Value	LOINC	Answer	S	LA32-8	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_ant	2976	777	cm_ant_777	Decline to answer		36311156		Prefer not to say	Meas Value	LOINC	Answer	S	LA28803-7	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_ant	2975	99	cm_ant_99	Don't know/not sure		45876636		Don't know	Meas Value	LOINC	Answer	S	LA12688-0	skos:exactMatch	1			
open-source	meds_assessment	radio	cm_ant	2974	4	cm_ant_4	Most days (3-4 days/week)		1620862		Most days (3-4 days)	Meas Value	LOINC	Answer	S	LA31670-5	skos:closeMatch	1			
open-source	meds_assessment	radio	cm_ant	2973	3	cm_ant_3	Some days (1-2 days/week)		1620467		A few days (1-2 days)	Meas Value	LOINC	Answer	S	LA31669-7	skos:closeMatch	1			
open-source	meds_assessment	radio	cm_ant	2972	2	cm_ant_2	A few days (<1 day/week)		45884557		Less than a day	Meas Value	LOINC	Answer	S	LA14482-6	skos:closeMatch	0.75			
open-source	meds_assessment	radio	cm_ant	2971	1	cm_ant_1	Every day		45881677		Every day	Meas Value	LOINC	Answer	S	LA14799-3	skos:exactMatch	1			
